Time 1Elf Jack: Selected Toy fake tattoo, Girl
Time 1Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 1Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 1Elf Jack: Selected Toy whistle, Boy
Time 1Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 1Elf Jack: Placed Toy whistle, on the sleigh. 
Time 1Elf Jack: Selected Toy doll, Boy
Time 1Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 1Elf Jack: Placed Toy doll, on the sleigh. 
Time 1Elf Jack: Selected Toy doll, Girl
Time 1Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 1Elf Jack: Placed Toy doll, on the sleigh. 
Time 1Elf Jack: Selected Toy whistle, Girl
Time 1Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 1Elf Jack: Placed Toy whistle, on the sleigh. 
Time 1Elf Jack: Selected Toy bracelet, Girl
Time 1Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 1Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 1Elf Jack: Selected Toy dinosaur, Girl
Time 1Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 1Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 1Elf Jack: Selected Toy bracelet, Boy
Time 1Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 1Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 1Elf Jack: Selected Toy doll, Girl
Time 1Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 1Elf Jack: Placed Toy doll, on the sleigh. 
Time 2Elf Jack: Selected Toy train, Girl
Time 2Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 2Elf Jack: Placed Toy train, on the sleigh. 
Time 2Elf Jack: Selected Toy train, Boy
Time 2Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 2Elf Jack: Placed Toy train, on the sleigh. 
Time 2Elf Jack: Selected Toy doll, Girl
Time 2Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 2Elf Jack: Placed Toy doll, on the sleigh. 
Time 2Elf Jack: Selected Toy train, Girl
Time 2Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 2Elf Jack: Placed Toy train, on the sleigh. 
Time 2Elf Jack: Selected Toy train, Girl
Time 2Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 2Elf Jack: Placed Toy train, on the sleigh. 
Time 2Elf Jack: Selected Toy doll, Girl
Time 2Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 2Elf Jack: Placed Toy doll, on the sleigh. 
Time 2Elf Jack: Selected Toy whistle, Boy
Time 2Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 2Elf Jack: Placed Toy whistle, on the sleigh. 
Time 2Elf Jack: Selected Toy dinosaur, Boy
Time 2Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 2Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 2Elf Jack: Selected Toy fake tattoo, Boy
Time 3Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 3Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 3Elf Jack: Selected Toy doll, Boy
Time 3Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 3Elf Jack: Placed Toy doll, on the sleigh. 
Time 3Elf Jack: Selected Toy whistle, Boy
Time 3Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 3Elf Jack: Placed Toy whistle, on the sleigh. 
Time 3Elf Jack: Selected Toy train, Boy
Time 3Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 3Elf Jack: Placed Toy train, on the sleigh. 
Time 3Elf Jack: Selected Toy whistle, Girl
Time 3Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 3Elf Jack: Placed Toy whistle, on the sleigh. 
Time 3Elf Jack: Selected Toy bracelet, Girl
Time 3Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 3Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 3Elf Jack: Selected Toy dinosaur, Girl
Time 3Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 3Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 3Elf Jack: Selected Toy bracelet, Boy
Time 3Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 3Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 3Elf Jack: Selected Toy train, Boy
Time 3Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 3Elf Jack: Placed Toy train, on the sleigh. 
Time 3Elf Jack: Selected Toy train, Girl
Time 3Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 3Elf Jack: Placed Toy train, on the sleigh. 
Time 3Elf Jack: Selected Toy dinosaur, Boy
Time 3Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 3Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 3Elf Jack: Selected Toy bracelet, Boy
Time 4Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 4Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 4Elf Jack: Selected Toy train, Girl
Time 4Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 4Elf Jack: Placed Toy train, on the sleigh. 
Time 4Elf Jack: Selected Toy fake tattoo, Boy
Time 4Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 4Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 4Elf Jack: Selected Toy whistle, Girl
