Time 5 Elf Beradin: Selected Toy bracelet, Boy
Time 8 Elf Beradin: Wrapped Toy bracelet, in Blue wrapping paper.
Time 8 Elf Beradin: Placed Toy bracelet, on the sleigh. 
Time 11 Elf Beradin: Selected Toy bracelet, Boy
Time 13 Elf Beradin: Wrapped Toy bracelet, in Blue wrapping paper.
Time 13 Elf Beradin: Placed Toy bracelet, on the sleigh. 
Time 20 Elf Beradin: Selected Toy train, Girl
Time 22 Elf Beradin: Wrapped Toy train, in Pink wrapping paper.
Time 22 Elf Beradin: Placed Toy train, on the sleigh. 
Time 24 Elf Beradin: Selected Toy dinosaur, Boy
Time 32 Elf Beradin: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 32 Elf Beradin: Placed Toy dinosaur, on the sleigh. 
Time 41 Elf Beradin: Selected Toy fake tattoo, Boy
Time 47 Elf Beradin: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 47 Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
Time 53 Elf Beradin: Selected Toy doll, Girl
Time 60 Elf Beradin: Wrapped Toy doll, in Pink wrapping paper.
Time 60 Elf Beradin: Placed Toy doll, on the sleigh. 
Time 67 Elf Beradin: Selected Toy doll, Girl
Time 74 Elf Beradin: Wrapped Toy doll, in Pink wrapping paper.
Time 74 Elf Beradin: Placed Toy doll, on the sleigh. 
Time 78 Elf Beradin: Selected Toy doll, Girl
Time 86 Elf Beradin: Wrapped Toy doll, in Pink wrapping paper.
Time 86 Elf Beradin: Placed Toy doll, on the sleigh. 
Time 89 Elf Beradin: Selected Toy whistle, Girl
Time 95 Elf Beradin: Wrapped Toy whistle, in Pink wrapping paper.
Time 95 Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 104 Elf Beradin: Selected Toy train, Boy
Time 109 Elf Beradin: Wrapped Toy train, in Blue wrapping paper.
Time 109 Elf Beradin: Placed Toy train, on the sleigh. 
Time 113 Elf Beradin: Selected Toy fake tattoo, Boy
Time 117 Elf Beradin: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 117 Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
Time 122 Elf Beradin: Selected Toy train, Girl
Time 125 Elf Beradin: Wrapped Toy train, in Pink wrapping paper.
Time 125 Elf Beradin: Placed Toy train, on the sleigh. 
Time 130 Elf Beradin: Selected Toy fake tattoo, Boy
Time 133 Elf Beradin: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 133 Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
Time 135 Elf Beradin: Selected Toy train, Boy
Time 135 Elf Beradin: Wrapped Toy train, in Blue wrapping paper.
Time 135 Elf Beradin: Placed Toy train, on the sleigh. 
Time 144 Elf Beradin: Selected Toy fake tattoo, Girl
Time 145 Elf Beradin: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 145 Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
Time 152 Elf Beradin: Selected Toy fake tattoo, Boy
Time 156 Elf Beradin: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 156 Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
Time 162 Elf Beradin: Selected Toy whistle, Girl
Time 165 Elf Beradin: Wrapped Toy whistle, in Pink wrapping paper.
Time 165 Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 167 Elf Beradin: Selected Toy doll, Boy
Time 175 Elf Beradin: Wrapped Toy doll, in Blue wrapping paper.
Time 175 Elf Beradin: Placed Toy doll, on the sleigh. 
Time 178 Elf Beradin: Selected Toy doll, Boy
Time 185 Elf Beradin: Wrapped Toy doll, in Blue wrapping paper.
Time 185 Elf Beradin: Placed Toy doll, on the sleigh. 
Time 186 Elf Beradin: Selected Toy train, Boy
Time 191 Elf Beradin: Wrapped Toy train, in Blue wrapping paper.
Time 191 Elf Beradin: Placed Toy train, on the sleigh. 
Time 199 Elf Beradin: Selected Toy doll, Girl
Time 199 Elf Beradin: Wrapped Toy doll, in Pink wrapping paper.
Time 199 Elf Beradin: Placed Toy doll, on the sleigh. 
Time 208 Elf Beradin: Selected Toy fake tattoo, Boy
Time 216 Elf Beradin: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 216 Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
