Time 1 Elf Elf Jack: Selected Toy bracelet, Boy
Time 1 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 1 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 2 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 3 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 3 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 3 Elf Elf Jack: Selected Toy train, Girl
Time 4 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 4 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 4 Elf Elf Jack: Selected Toy bracelet, Boy
Time 5 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 5 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 5 Elf Elf Jack: Selected Toy bracelet, Girl
Time 6 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 6 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 6 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 7 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 7 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 7 Elf Elf Jack: Selected Toy bracelet, Girl
Time 8 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 8 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 8 Elf Elf Jack: Selected Toy doll, Boy
Time 9 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 9 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 10 Elf Elf Jack: Selected Toy bracelet, Girl
Time 10 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 10 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 10 Elf Elf Jack: Selected Toy doll, Girl
Time 10 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
