Time 1 Elf Elf Jack3: Selected Toy train, Girl
Time 2 Elf Elf Jack3: Wrapped Toy train, in Pink wrapping paper.
Time 2 Elf Elf Jack3: Placed Toy train, on the sleigh. 
Time 3 Elf Elf Jack3: Selected Toy fake tattoo, Girl
Time 4 Elf Elf Jack3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 4 Elf Elf Jack3: Placed Toy fake tattoo, on the sleigh. 
Time 4 Elf Elf Jack3: Selected Toy doll, Girl
Time 5 Elf Elf Jack3: Wrapped Toy doll, in Pink wrapping paper.
Time 5 Elf Elf Jack3: Placed Toy doll, on the sleigh. 
Time 9 Elf Elf Jack3: Selected Toy train, Boy
Time 10 Elf Elf Jack3: Wrapped Toy train, in Blue wrapping paper.
Time 10 Elf Elf Jack3: Placed Toy train, on the sleigh. 
Time 14 Elf Elf Jack3: Selected Toy fake tattoo, Girl
Time 14 Elf Elf Jack3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 14 Elf Elf Jack3: Placed Toy fake tattoo, on the sleigh. 
Time 18 Elf Elf Jack3: Selected Toy train, Boy
Time 19 Elf Elf Jack3: Wrapped Toy train, in Blue wrapping paper.
Time 19 Elf Elf Jack3: Placed Toy train, on the sleigh. 
Time 23 Elf Elf Jack3: Selected Toy dinosaur, Boy
Time 23 Elf Elf Jack3: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 23 Elf Elf Jack3: Placed Toy dinosaur, on the sleigh. 
Time 27 Elf Elf Jack3: Selected Toy dinosaur, Girl
Time 28 Elf Elf Jack3: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 28 Elf Elf Jack3: Placed Toy dinosaur, on the sleigh. 
Time 33 Elf Elf Jack3: Selected Toy bracelet, Boy
Time 34 Elf Elf Jack3: Wrapped Toy bracelet, in Blue wrapping paper.
Time 34 Elf Elf Jack3: Placed Toy bracelet, on the sleigh. 
Time 37 Elf Elf Jack3: Selected Toy fake tattoo, Boy
Time 38 Elf Elf Jack3: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 38 Elf Elf Jack3: Placed Toy fake tattoo, on the sleigh. 
Time 42 Elf Elf Jack3: Selected Toy whistle, Boy
Time 43 Elf Elf Jack3: Wrapped Toy whistle, in Blue wrapping paper.
Time 43 Elf Elf Jack3: Placed Toy whistle, on the sleigh. 
Time 46 Elf Elf Jack3: Selected Toy whistle, Boy
Time 47 Elf Elf Jack3: Wrapped Toy whistle, in Blue wrapping paper.
Time 47 Elf Elf Jack3: Placed Toy whistle, on the sleigh. 
Time 50 Elf Elf Jack3: Selected Toy train, Girl
Time 51 Elf Elf Jack3: Wrapped Toy train, in Pink wrapping paper.
Time 51 Elf Elf Jack3: Placed Toy train, on the sleigh. 
Time 55 Elf Elf Jack3: Selected Toy whistle, Girl
Time 56 Elf Elf Jack3: Wrapped Toy whistle, in Pink wrapping paper.
Time 56 Elf Elf Jack3: Placed Toy whistle, on the sleigh. 
Time 60 Elf Elf Jack3: Selected Toy whistle, Girl
Time 61 Elf Elf Jack3: Wrapped Toy whistle, in Pink wrapping paper.
Time 61 Elf Elf Jack3: Placed Toy whistle, on the sleigh. 
Time 64 Elf Elf Jack3: Selected Toy bracelet, Girl
Time 65 Elf Elf Jack3: Wrapped Toy bracelet, in Pink wrapping paper.
Time 65 Elf Elf Jack3: Placed Toy bracelet, on the sleigh. 
Time 69 Elf Elf Jack3: Selected Toy fake tattoo, Girl
Time 69 Elf Elf Jack3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 69 Elf Elf Jack3: Placed Toy fake tattoo, on the sleigh. 
Time 72 Elf Elf Jack3: Selected Toy fake tattoo, Girl
Time 73 Elf Elf Jack3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 73 Elf Elf Jack3: Placed Toy fake tattoo, on the sleigh. 
Time 77 Elf Elf Jack3: Selected Toy doll, Boy
Time 77 Elf Elf Jack3: Wrapped Toy doll, in Blue wrapping paper.
Time 77 Elf Elf Jack3: Placed Toy doll, on the sleigh. 
Time 82 Elf Elf Jack3: Selected Toy train, Girl
Time 82 Elf Elf Jack3: Wrapped Toy train, in Pink wrapping paper.
Time 82 Elf Elf Jack3: Placed Toy train, on the sleigh. 
