Time 1 Elf Elf Liam: Selected Toy bracelet, Girl
Time 1 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 1 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 2 Elf Elf Liam: Selected Toy train, Girl
Time 2 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 2 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 2 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 3 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 3 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 3 Elf Elf Liam: Selected Toy train, Girl
Time 3 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 3 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 3 Elf Elf Liam: Selected Toy train, Girl
Time 3 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 3 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 4 Elf Elf Liam: Selected Toy whistle, Girl
Time 4 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 4 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 5 Elf Elf Liam: Selected Toy bracelet, Girl
Time 6 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 6 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 7 Elf Elf Liam: Selected Toy whistle, Girl
Time 7 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 7 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 7 Elf Elf Liam: Selected Toy train, Girl
Time 8 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 8 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 8 Elf Elf Liam: Selected Toy whistle, Girl
Time 8 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 8 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 8 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 8 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 8 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 9 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 9 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 9 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 10 Elf Elf Liam: Selected Toy doll, Girl
