Time 1 Elf Elf Liam3: Selected Toy fake tattoo, Girl
Time 2 Elf Elf Liam3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 2 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 3 Elf Elf Liam3: Selected Toy bracelet, Boy
Time 4 Elf Elf Liam3: Wrapped Toy bracelet, in Blue wrapping paper.
Time 4 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 6 Elf Elf Liam3: Selected Toy doll, Boy
Time 7 Elf Elf Liam3: Wrapped Toy doll, in Blue wrapping paper.
Time 7 Elf Elf Liam3: Placed Toy doll, on the sleigh. 
Time 11 Elf Elf Liam3: Selected Toy train, Boy
Time 12 Elf Elf Liam3: Wrapped Toy train, in Blue wrapping paper.
Time 12 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 16 Elf Elf Liam3: Selected Toy whistle, Boy
Time 17 Elf Elf Liam3: Wrapped Toy whistle, in Blue wrapping paper.
Time 17 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 20 Elf Elf Liam3: Selected Toy fake tattoo, Boy
Time 21 Elf Elf Liam3: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 21 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 25 Elf Elf Liam3: Selected Toy whistle, Boy
Time 26 Elf Elf Liam3: Wrapped Toy whistle, in Blue wrapping paper.
Time 26 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 29 Elf Elf Liam3: Selected Toy whistle, Girl
Time 30 Elf Elf Liam3: Wrapped Toy whistle, in Pink wrapping paper.
Time 30 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 34 Elf Elf Liam3: Selected Toy train, Girl
Time 35 Elf Elf Liam3: Wrapped Toy train, in Pink wrapping paper.
Time 35 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 40 Elf Elf Liam3: Selected Toy bracelet, Boy
Time 40 Elf Elf Liam3: Wrapped Toy bracelet, in Blue wrapping paper.
Time 40 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 44 Elf Elf Liam3: Selected Toy train, Boy
Time 45 Elf Elf Liam3: Wrapped Toy train, in Blue wrapping paper.
Time 45 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 48 Elf Elf Liam3: Selected Toy whistle, Girl
Time 49 Elf Elf Liam3: Wrapped Toy whistle, in Pink wrapping paper.
Time 49 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 53 Elf Elf Liam3: Selected Toy fake tattoo, Girl
Time 54 Elf Elf Liam3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 54 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 57 Elf Elf Liam3: Selected Toy whistle, Girl
Time 58 Elf Elf Liam3: Wrapped Toy whistle, in Pink wrapping paper.
Time 58 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 62 Elf Elf Liam3: Selected Toy bracelet, Girl
Time 63 Elf Elf Liam3: Wrapped Toy bracelet, in Pink wrapping paper.
Time 63 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 66 Elf Elf Liam3: Selected Toy bracelet, Girl
