Time 1 Elf Elf Matt3: Selected Toy whistle, Girl
Time 2 Elf Elf Matt3: Wrapped Toy whistle, in Pink wrapping paper.
Time 2 Elf Elf Matt3: Placed Toy whistle, on the sleigh. 
Time 3 Elf Elf Matt3: Selected Toy train, Girl
Time 3 Elf Elf Matt3: Wrapped Toy train, in Pink wrapping paper.
Time 3 Elf Elf Matt3: Placed Toy train, on the sleigh. 
Time 4 Elf Elf Matt3: Selected Toy train, Boy
Time 5 Elf Elf Matt3: Wrapped Toy train, in Blue wrapping paper.
Time 5 Elf Elf Matt3: Placed Toy train, on the sleigh. 
Time 9 Elf Elf Matt3: Selected Toy bracelet, Boy
Time 10 Elf Elf Matt3: Wrapped Toy bracelet, in Blue wrapping paper.
Time 10 Elf Elf Matt3: Placed Toy bracelet, on the sleigh. 
Time 14 Elf Elf Matt3: Selected Toy whistle, Boy
Time 14 Elf Elf Matt3: Wrapped Toy whistle, in Blue wrapping paper.
Time 14 Elf Elf Matt3: Placed Toy whistle, on the sleigh. 
Time 18 Elf Elf Matt3: Selected Toy doll, Boy
Time 19 Elf Elf Matt3: Wrapped Toy doll, in Blue wrapping paper.
Time 19 Elf Elf Matt3: Placed Toy doll, on the sleigh. 
Time 23 Elf Elf Matt3: Selected Toy dinosaur, Boy
Time 24 Elf Elf Matt3: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 24 Elf Elf Matt3: Placed Toy dinosaur, on the sleigh. 
Time 27 Elf Elf Matt3: Selected Toy doll, Girl
Time 28 Elf Elf Matt3: Wrapped Toy doll, in Pink wrapping paper.
Time 28 Elf Elf Matt3: Placed Toy doll, on the sleigh. 
Time 31 Elf Elf Matt3: Selected Toy doll, Boy
Time 32 Elf Elf Matt3: Wrapped Toy doll, in Blue wrapping paper.
Time 32 Elf Elf Matt3: Placed Toy doll, on the sleigh. 
Time 36 Elf Elf Matt3: Selected Toy whistle, Girl
Time 36 Elf Elf Matt3: Wrapped Toy whistle, in Pink wrapping paper.
Time 36 Elf Elf Matt3: Placed Toy whistle, on the sleigh. 
