Time 1 Elf Elf Ryan: Selected Toy doll, Girl
Time 1 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 1 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 2 Elf Elf Ryan: Selected Toy doll, Girl
Time 3 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 3 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 3 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 4 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 4 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 4 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 5 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 5 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 6 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 6 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 6 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 6 Elf Elf Ryan: Selected Toy whistle, Boy
Time 7 Elf Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 7 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 7 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 7 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 7 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 8 Elf Elf Ryan: Selected Toy dinosaur, Girl
Time 8 Elf Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 8 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 9 Elf Elf Ryan: Selected Toy doll, Boy
Time 9 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 9 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 9 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 10 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 10 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 10 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 10 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 10 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 11 Elf Elf Ryan: Selected Toy whistle, Boy
Time 11 Elf Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 11 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 12 Elf Elf Ryan: Selected Toy doll, Girl
Time 13 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 13 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 14 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 14 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 14 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 15 Elf Elf Ryan: Selected Toy train, Girl
Time 15 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 15 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 16 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 17 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 17 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 17 Elf Elf Ryan: Selected Toy whistle, Girl
Time 17 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 17 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 18 Elf Elf Ryan: Selected Toy dinosaur, Girl
Time 18 Elf Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 18 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 19 Elf Elf Ryan: Selected Toy whistle, Girl
Time 19 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 19 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 20 Elf Elf Ryan: Selected Toy dinosaur, Girl
Time 21 Elf Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 21 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 21 Elf Elf Ryan: Selected Toy train, Boy
Time 22 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 22 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 22 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 22 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 22 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 22 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 22 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 22 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 23 Elf Elf Ryan: Selected Toy doll, Girl
Time 24 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 24 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 24 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 25 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 25 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 25 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 25 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 25 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 26 Elf Elf Ryan: Selected Toy dinosaur, Girl
Time 27 Elf Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 27 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 27 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 28 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 28 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 28 Elf Elf Ryan: Selected Toy train, Girl
Time 28 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 28 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 28 Elf Elf Ryan: Selected Toy train, Boy
Time 28 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 28 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 29 Elf Elf Ryan: Selected Toy doll, Girl
Time 30 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 30 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 30 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 31 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 31 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 31 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 32 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 32 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 32 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 32 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 32 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 33 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 34 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 34 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 34 Elf Elf Ryan: Selected Toy doll, Boy
Time 34 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 34 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 35 Elf Elf Ryan: Selected Toy train, Girl
Time 36 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 36 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 36 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 36 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 36 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 37 Elf Elf Ryan: Selected Toy whistle, Girl
Time 38 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 38 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 39 Elf Elf Ryan: Selected Toy train, Girl
Time 39 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 39 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 40 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 41 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 41 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 41 Elf Elf Ryan: Selected Toy train, Girl
Time 42 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 42 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 42 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 43 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 43 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 44 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 44 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 44 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 45 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 45 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 45 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 46 Elf Elf Ryan: Selected Toy train, Girl
Time 46 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 46 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 47 Elf Elf Ryan: Selected Toy train, Girl
Time 47 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 47 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 47 Elf Elf Ryan: Selected Toy doll, Girl
Time 48 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 48 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 49 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 49 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 49 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 50 Elf Elf Ryan: Selected Toy doll, Girl
Time 51 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 51 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 51 Elf Elf Ryan: Selected Toy whistle, Girl
Time 52 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 52 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 52 Elf Elf Ryan: Selected Toy doll, Girl
Time 52 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 52 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 53 Elf Elf Ryan: Selected Toy doll, Boy
Time 54 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 54 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 55 Elf Elf Ryan: Selected Toy train, Boy
Time 55 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 55 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 55 Elf Elf Ryan: Selected Toy train, Boy
Time 55 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 55 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 56 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 56 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 56 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 57 Elf Elf Ryan: Selected Toy doll, Girl
Time 57 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 57 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 58 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 59 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 59 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 59 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 59 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 59 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 60 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 61 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 61 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 61 Elf Elf Ryan: Selected Toy dinosaur, Girl
Time 62 Elf Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 62 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 62 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 63 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 63 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 63 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 63 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 63 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 63 Elf Elf Ryan: Selected Toy whistle, Girl
Time 63 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 63 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 64 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 65 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 65 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 65 Elf Elf Ryan: Selected Toy doll, Boy
Time 66 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 66 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 66 Elf Elf Ryan: Selected Toy doll, Boy
Time 67 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 67 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 67 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 67 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 67 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 68 Elf Elf Ryan: Selected Toy whistle, Boy
Time 68 Elf Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 68 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 69 Elf Elf Ryan: Selected Toy train, Boy
Time 69 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 69 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 70 Elf Elf Ryan: Selected Toy doll, Boy
Time 71 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 71 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 71 Elf Elf Ryan: Selected Toy dinosaur, Girl
Time 72 Elf Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 72 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 72 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 73 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 73 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 73 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 74 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 74 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 74 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 75 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 75 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 75 Elf Elf Ryan: Selected Toy train, Girl
Time 76 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 76 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 77 Elf Elf Ryan: Selected Toy doll, Girl
Time 77 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 77 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 78 Elf Elf Ryan: Selected Toy whistle, Girl
Time 79 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 79 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 79 Elf Elf Ryan: Selected Toy doll, Girl
Time 80 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 80 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 80 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 80 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 80 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 81 Elf Elf Ryan: Selected Toy whistle, Boy
Time 82 Elf Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 82 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 82 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 83 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 83 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 84 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 84 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 84 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 84 Elf Elf Ryan: Selected Toy whistle, Boy
Time 84 Elf Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 84 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 85 Elf Elf Ryan: Selected Toy whistle, Girl
Time 85 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 85 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 86 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 86 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 86 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 87 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 87 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 87 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 87 Elf Elf Ryan: Selected Toy doll, Boy
Time 88 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 88 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 89 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 90 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 90 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 90 Elf Elf Ryan: Selected Toy train, Boy
Time 91 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 91 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 91 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 92 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 92 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 92 Elf Elf Ryan: Selected Toy whistle, Boy
Time 93 Elf Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 93 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 94 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 95 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 95 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 95 Elf Elf Ryan: Selected Toy train, Boy
Time 95 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 95 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 95 Elf Elf Ryan: Selected Toy whistle, Girl
Time 96 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 96 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 96 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 96 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 96 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 97 Elf Elf Ryan: Selected Toy train, Girl
Time 98 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 98 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 98 Elf Elf Ryan: Selected Toy fake tattoo, Girl
Time 98 Elf Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 98 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 98 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 99 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 99 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 99 Elf Elf Ryan: Selected Toy doll, Girl
Time 100 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 100 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 100 Elf Elf Ryan: Selected Toy train, Girl
Time 101 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 101 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 101 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 102 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 102 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 103 Elf Elf Ryan: Selected Toy train, Girl
Time 104 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 104 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 104 Elf Elf Ryan: Selected Toy doll, Boy
Time 105 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 105 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 105 Elf Elf Ryan: Selected Toy doll, Boy
Time 105 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 105 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 106 Elf Elf Ryan: Selected Toy doll, Girl
Time 106 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 106 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 107 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 107 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 107 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 107 Elf Elf Ryan: Selected Toy doll, Girl
Time 108 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 108 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 109 Elf Elf Ryan: Selected Toy train, Girl
Time 110 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 110 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 110 Elf Elf Ryan: Selected Toy doll, Girl
Time 110 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 110 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 110 Elf Elf Ryan: Selected Toy bracelet, Boy
Time 111 Elf Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 111 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 112 Elf Elf Ryan: Selected Toy train, Girl
Time 112 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 112 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 112 Elf Elf Ryan: Selected Toy train, Boy
Time 113 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 113 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 114 Elf Elf Ryan: Selected Toy train, Boy
Time 114 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 114 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 115 Elf Elf Ryan: Selected Toy doll, Girl
Time 115 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 115 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 116 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 117 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 117 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 117 Elf Elf Ryan: Selected Toy whistle, Girl
Time 118 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 118 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 118 Elf Elf Ryan: Selected Toy whistle, Girl
Time 118 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 118 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 119 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 119 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 119 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 120 Elf Elf Ryan: Selected Toy doll, Girl
Time 121 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 121 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 122 Elf Elf Ryan: Selected Toy whistle, Boy
Time 122 Elf Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 122 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 122 Elf Elf Ryan: Selected Toy dinosaur, Boy
Time 123 Elf Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 123 Elf Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 123 Elf Elf Ryan: Selected Toy train, Girl
Time 123 Elf Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 123 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 123 Elf Elf Ryan: Selected Toy train, Boy
Time 124 Elf Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 124 Elf Elf Ryan: Placed Toy train, on the sleigh. 
Time 125 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 125 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 125 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 125 Elf Elf Ryan: Selected Toy bracelet, Girl
Time 126 Elf Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
