Time 1 Elf Elf Ryan2: Selected Toy fake tattoo, Girl
Time 2 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 2 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 3 Elf Elf Ryan2: Selected Toy bracelet, Girl
Time 4 Elf Elf Ryan2: Wrapped Toy bracelet, in Pink wrapping paper.
Time 4 Elf Elf Ryan2: Placed Toy bracelet, on the sleigh. 
Time 5 Elf Elf Ryan2: Selected Toy bracelet, Boy
Time 6 Elf Elf Ryan2: Wrapped Toy bracelet, in Blue wrapping paper.
Time 6 Elf Elf Ryan2: Placed Toy bracelet, on the sleigh. 
Time 10 Elf Elf Ryan2: Selected Toy bracelet, Girl
Time 10 Elf Elf Ryan2: Wrapped Toy bracelet, in Pink wrapping paper.
Time 10 Elf Elf Ryan2: Placed Toy bracelet, on the sleigh. 
Time 14 Elf Elf Ryan2: Selected Toy bracelet, Boy
Time 14 Elf Elf Ryan2: Wrapped Toy bracelet, in Blue wrapping paper.
Time 14 Elf Elf Ryan2: Placed Toy bracelet, on the sleigh. 
Time 19 Elf Elf Ryan2: Selected Toy train, Girl
Time 19 Elf Elf Ryan2: Wrapped Toy train, in Pink wrapping paper.
Time 19 Elf Elf Ryan2: Placed Toy train, on the sleigh. 
Time 23 Elf Elf Ryan2: Selected Toy dinosaur, Girl
Time 24 Elf Elf Ryan2: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 24 Elf Elf Ryan2: Placed Toy dinosaur, on the sleigh. 
Time 28 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 28 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 28 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 32 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 32 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 32 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 37 Elf Elf Ryan2: Selected Toy bracelet, Boy
Time 38 Elf Elf Ryan2: Wrapped Toy bracelet, in Blue wrapping paper.
Time 38 Elf Elf Ryan2: Placed Toy bracelet, on the sleigh. 
Time 41 Elf Elf Ryan2: Selected Toy dinosaur, Boy
Time 42 Elf Elf Ryan2: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 42 Elf Elf Ryan2: Placed Toy dinosaur, on the sleigh. 
Time 46 Elf Elf Ryan2: Selected Toy fake tattoo, Boy
Time 47 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 47 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 51 Elf Elf Ryan2: Selected Toy dinosaur, Boy
Time 52 Elf Elf Ryan2: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 52 Elf Elf Ryan2: Placed Toy dinosaur, on the sleigh. 
Time 55 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 56 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 56 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 60 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 61 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 61 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 65 Elf Elf Ryan2: Selected Toy train, Girl
Time 65 Elf Elf Ryan2: Wrapped Toy train, in Pink wrapping paper.
Time 65 Elf Elf Ryan2: Placed Toy train, on the sleigh. 
Time 69 Elf Elf Ryan2: Selected Toy dinosaur, Boy
Time 70 Elf Elf Ryan2: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 70 Elf Elf Ryan2: Placed Toy dinosaur, on the sleigh. 
Time 73 Elf Elf Ryan2: Selected Toy whistle, Girl
Time 74 Elf Elf Ryan2: Wrapped Toy whistle, in Pink wrapping paper.
Time 74 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 79 Elf Elf Ryan2: Selected Toy train, Girl
Time 79 Elf Elf Ryan2: Wrapped Toy train, in Pink wrapping paper.
Time 79 Elf Elf Ryan2: Placed Toy train, on the sleigh. 
Time 83 Elf Elf Ryan2: Selected Toy whistle, Girl
Time 84 Elf Elf Ryan2: Wrapped Toy whistle, in Pink wrapping paper.
Time 84 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 88 Elf Elf Ryan2: Selected Toy doll, Boy
Time 89 Elf Elf Ryan2: Wrapped Toy doll, in Blue wrapping paper.
Time 89 Elf Elf Ryan2: Placed Toy doll, on the sleigh. 
