Time 8 Elf Jack: Selected Toy whistle, Boy
Time 11 Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 11 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 15 Elf Jack: Selected Toy fake tattoo, Girl
Time 22 Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 22 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 27 Elf Jack: Selected Toy whistle, Boy
Time 30 Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 30 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 37 Elf Jack: Selected Toy bracelet, Boy
Time 38 Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 38 Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 39 Elf Jack: Selected Toy dinosaur, Boy
Time 48 Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 48 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 53 Elf Jack: Selected Toy train, Girl
Time 61 Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 61 Elf Jack: Placed Toy train, on the sleigh. 
Time 67 Elf Jack: Selected Toy fake tattoo, Boy
Time 74 Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 74 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 76 Elf Jack: Selected Toy dinosaur, Girl
Time 84 Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 84 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 90 Elf Jack: Selected Toy train, Girl
Time 95 Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 95 Elf Jack: Placed Toy train, on the sleigh. 
Time 103 Elf Jack: Selected Toy fake tattoo, Boy
Time 110 Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 110 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 117 Elf Jack: Selected Toy train, Girl
Time 124 Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 124 Elf Jack: Placed Toy train, on the sleigh. 
Time 128 Elf Jack: Selected Toy whistle, Boy
Time 135 Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 135 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 144 Elf Jack: Selected Toy fake tattoo, Boy
Time 149 Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 149 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 152 Elf Jack: Selected Toy whistle, Girl
Time 154 Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 154 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 162 Elf Jack: Selected Toy dinosaur, Boy
Time 165 Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 165 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 169 Elf Jack: Selected Toy train, Boy
Time 177 Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 177 Elf Jack: Placed Toy train, on the sleigh. 
Time 179 Elf Jack: Selected Toy doll, Boy
Time 188 Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 188 Elf Jack: Placed Toy doll, on the sleigh. 
Time 192 Elf Jack: Selected Toy whistle, Girl
Time 195 Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 195 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 199 Elf Jack: Selected Toy train, Boy
Time 206 Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 206 Elf Jack: Placed Toy train, on the sleigh. 
Time 207 Elf Jack: Selected Toy bracelet, Boy
Time 214 Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 214 Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 222 Elf Jack: Selected Toy bracelet, Girl
Time 230 Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 230 Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 237 Elf Jack: Selected Toy whistle, Boy
Time 239 Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 239 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 243 Elf Jack: Selected Toy train, Boy
Time 248 Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 248 Elf Jack: Placed Toy train, on the sleigh. 
Time 256 Elf Jack: Selected Toy fake tattoo, Boy
Time 262 Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 262 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
