Time 4 Elf Liam: Selected Toy train, Boy
Time 6 Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 6 Elf Liam: Placed Toy train, on the sleigh. 
Time 8 Elf Liam: Selected Toy dinosaur, Boy
Time 12 Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 12 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 14 Elf Liam: Selected Toy bracelet, Boy
Time 16 Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 16 Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 22 Elf Liam: Selected Toy fake tattoo, Boy
Time 30 Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 30 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 33 Elf Liam: Selected Toy doll, Girl
Time 33 Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 33 Elf Liam: Placed Toy doll, on the sleigh. 
Time 36 Elf Liam: Selected Toy whistle, Girl
Time 42 Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 42 Elf Liam: Placed Toy whistle, on the sleigh. 
Time 48 Elf Liam: Selected Toy fake tattoo, Boy
Time 50 Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 50 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 54 Elf Liam: Selected Toy doll, Boy
Time 55 Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 55 Elf Liam: Placed Toy doll, on the sleigh. 
Time 60 Elf Liam: Selected Toy dinosaur, Girl
Time 66 Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 66 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 67 Elf Liam: Selected Toy train, Girl
Time 74 Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 74 Elf Liam: Placed Toy train, on the sleigh. 
Time 78 Elf Liam: Selected Toy train, Boy
Time 85 Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 85 Elf Liam: Placed Toy train, on the sleigh. 
Time 89 Elf Liam: Selected Toy doll, Girl
Time 94 Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 94 Elf Liam: Placed Toy doll, on the sleigh. 
Time 100 Elf Liam: Selected Toy fake tattoo, Girl
Time 108 Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 108 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 115 Elf Liam: Selected Toy train, Boy
Time 122 Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 122 Elf Liam: Placed Toy train, on the sleigh. 
