Time 9 Elf Matt: Selected Toy train, Girl
Time 10 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 10 Elf Matt: Placed Toy train, on the sleigh. 
Time 12 Elf Matt: Selected Toy bracelet, Girl
Time 18 Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 18 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 22 Elf Matt: Selected Toy bracelet, Girl
Time 26 Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 26 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 33 Elf Matt: Selected Toy train, Girl
Time 35 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 35 Elf Matt: Placed Toy train, on the sleigh. 
Time 37 Elf Matt: Selected Toy doll, Girl
Time 45 Elf Matt: Wrapped Toy doll, in Pink wrapping paper.
Time 45 Elf Matt: Placed Toy doll, on the sleigh. 
Time 48 Elf Matt: Selected Toy train, Girl
Time 53 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 53 Elf Matt: Placed Toy train, on the sleigh. 
Time 60 Elf Matt: Selected Toy fake tattoo, Girl
Time 69 Elf Matt: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 69 Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 70 Elf Matt: Selected Toy whistle, Boy
Time 75 Elf Matt: Wrapped Toy whistle, in Blue wrapping paper.
Time 75 Elf Matt: Placed Toy whistle, on the sleigh. 
Time 77 Elf Matt: Selected Toy doll, Boy
Time 77 Elf Matt: Wrapped Toy doll, in Blue wrapping paper.
Time 77 Elf Matt: Placed Toy doll, on the sleigh. 
Time 78 Elf Matt: Selected Toy whistle, Boy
Time 85 Elf Matt: Wrapped Toy whistle, in Blue wrapping paper.
Time 85 Elf Matt: Placed Toy whistle, on the sleigh. 
Time 86 Elf Matt: Selected Toy train, Boy
Time 91 Elf Matt: Wrapped Toy train, in Blue wrapping paper.
Time 91 Elf Matt: Placed Toy train, on the sleigh. 
Time 96 Elf Matt: Selected Toy doll, Boy
Time 101 Elf Matt: Wrapped Toy doll, in Blue wrapping paper.
Time 101 Elf Matt: Placed Toy doll, on the sleigh. 
Time 102 Elf Matt: Selected Toy dinosaur, Girl
Time 105 Elf Matt: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 105 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 105 Elf Matt: Selected Toy fake tattoo, Boy
Time 110 Elf Matt: Wrapped Toy fake tattoo, in Blue wrapping paper.
