Time 3 Elf Ryan: Selected Toy whistle, Girl
Time 6 Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 6 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 9 Elf Ryan: Selected Toy doll, Girl
Time 10 Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 10 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 11 Elf Ryan: Selected Toy train, Boy
Time 15 Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 15 Elf Ryan: Placed Toy train, on the sleigh. 
Time 18 Elf Ryan: Selected Toy dinosaur, Girl
Time 20 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 20 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 24 Elf Ryan: Selected Toy fake tattoo, Boy
Time 25 Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 25 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 27 Elf Ryan: Selected Toy bracelet, Girl
Time 30 Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 30 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 37 Elf Ryan: Selected Toy whistle, Boy
Time 39 Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 39 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 40 Elf Ryan: Selected Toy dinosaur, Girl
Time 49 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 49 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 52 Elf Ryan: Selected Toy bracelet, Boy
Time 53 Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 53 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 54 Elf Ryan: Selected Toy whistle, Girl
Time 55 Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 55 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 62 Elf Ryan: Selected Toy dinosaur, Boy
Time 64 Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 64 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 67 Elf Ryan: Selected Toy dinosaur, Girl
Time 70 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 70 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 76 Elf Ryan: Selected Toy doll, Girl
Time 83 Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 83 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 83 Elf Ryan: Selected Toy bracelet, Girl
Time 86 Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 86 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 91 Elf Ryan: Selected Toy train, Boy
Time 99 Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 99 Elf Ryan: Placed Toy train, on the sleigh. 
Time 107 Elf Ryan: Selected Toy dinosaur, Girl
Time 112 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 112 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 117 Elf Ryan: Selected Toy train, Girl
Time 122 Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 122 Elf Ryan: Placed Toy train, on the sleigh. 
Time 122 Elf Ryan: Selected Toy doll, Boy
Time 125 Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 125 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 132 Elf Ryan: Selected Toy dinosaur, Girl
Time 132 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 132 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 133 Elf Ryan: Selected Toy dinosaur, Girl
Time 139 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 139 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 146 Elf Ryan: Selected Toy fake tattoo, Girl
Time 150 Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 150 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 156 Elf Ryan: Selected Toy doll, Boy
Time 165 Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 165 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 172 Elf Ryan: Selected Toy bracelet, Girl
Time 181 Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
