Time 4Santa Nick: Gave Toy doll, Girl
Time 5Santa Nick: Gave Toy bracelet, Girl
Time 6Santa Nick: Gave Toy fake tattoo, Girl
Time 7Santa Nick: Gave Toy train, Girl
Time 8Santa Nick: Gave Toy dinosaur, Girl
Time 10Santa Nick: Gave Toy doll, Girl
Time 11Santa Nick: Gave Toy doll, Boy
Time 12Santa Nick: Gave Toy fake tattoo, Boy
Time 13Santa Nick: Gave Toy fake tattoo, Boy
Time 14Santa Nick: Gave Toy doll, Boy
Time 15Santa Nick: Gave Toy bracelet, Boy
Time 16Santa Nick: Gave Toy whistle, Girl
Time 17Santa Nick: Gave Toy whistle, Girl
Time 18Santa Nick: Gave Toy doll, Boy
Time 19Santa Nick: Gave Toy doll, Girl
Time 21Santa Nick: Gave Toy doll, Girl
Time 22Santa Nick: Gave Toy bracelet, Girl
Time 23Santa Nick: Gave Toy fake tattoo, Girl
Time 24Santa Nick: Gave Toy dinosaur, Girl
Time 26Santa Nick: Gave Toy bracelet, Boy
Time 26Santa Nick: Gave Toy doll, Girl
Time 28Santa Nick: Gave Toy bracelet, Girl
Time 30Santa Nick: Gave Toy dinosaur, Girl
Time 31Santa Nick: Gave Toy train, Girl
Time 33Santa Nick: Gave Toy whistle, Girl
Time 34Santa Nick: Gave Toy fake tattoo, Boy
Time 35Santa Nick: Gave Toy doll, Girl
Time 36Santa Nick: Gave Toy doll, Girl
Time 37Santa Nick: Gave Toy doll, Girl
Time 38Santa Nick: Gave Toy fake tattoo, Girl
Time 39Santa Nick: Gave Toy bracelet, Boy
Time 40Santa Nick: Gave Toy doll, Boy
Time 42Santa Nick: Gave Toy fake tattoo, Boy
Time 43Santa Nick: Gave Toy whistle, Boy
Time 44Santa Nick: Gave Toy fake tattoo, Girl
Time 45Santa Nick: Gave Toy train, Girl
Time 47Santa Nick: Gave Toy dinosaur, Girl
Time 48Santa Nick: Gave Toy fake tattoo, Boy
Time 50Santa Nick: Gave Toy bracelet, Girl
Time 51Santa Nick: Gave Toy bracelet, Girl
Time 52Santa Nick: Gave Toy fake tattoo, Girl
Time 53Santa Nick: Gave Toy fake tattoo, Boy
Time 54Santa Nick: Gave Toy train, Girl
Time 55Santa Nick: Gave Toy fake tattoo, Boy
Time 56Santa Nick: Gave Toy doll, Boy
Time 58Santa Nick: Gave Toy dinosaur, Girl
Time 59Santa Nick: Gave Toy dinosaur, Boy
Time 60Santa Nick: Gave Toy fake tattoo, Girl
Time 61Santa Nick: Gave Toy bracelet, Boy
Time 63Santa Nick: Gave Toy train, Girl
Time 64Santa Nick: Gave Toy whistle, Boy
Time 65Santa Nick: Gave Toy bracelet, Girl
Time 66Santa Nick: Gave Toy doll, Boy
Time 68Santa Nick: Gave Toy whistle, Girl
Time 68Santa Nick: Gave Toy fake tattoo, Girl
Time 69Santa Nick: Gave Toy train, Boy
Time 70Santa Nick: Gave Toy train, Boy
Time 71Santa Nick: Gave Toy dinosaur, Girl
Time 73Santa Nick: Gave Toy train, Boy
Time 75Santa Nick: Gave Toy whistle, Boy
Time 76Santa Nick: Gave Toy bracelet, Girl
Time 76Santa Nick: Gave Toy fake tattoo, Boy
Time 78Santa Nick: Gave Toy bracelet, Girl
Time 79Santa Nick: Gave Toy train, Girl
Time 80Santa Nick: Gave Toy dinosaur, Girl
Time 82Santa Nick: Gave Toy doll, Boy
Time 83Santa Nick: Gave Toy doll, Boy
Time 84Santa Nick: Gave Toy whistle, Girl
Time 84Santa Nick: Gave Toy whistle, Girl
Time 86Santa Nick: Gave Toy train, Boy
Time 87Santa Nick: Gave Toy whistle, Boy
Time 88Santa Nick: Gave Toy whistle, Girl
Time 90Santa Nick: Gave Toy doll, Boy
Time 91Santa Nick: Gave Toy whistle, Girl
Time 92Santa Nick: Gave Toy dinosaur, Boy
Time 93Santa Nick: Gave Toy dinosaur, Girl
Time 94Santa Nick: Gave Toy whistle, Girl
Time 95Santa Nick: Gave Toy bracelet, Girl
Time 96Santa Nick: Gave Toy doll, Girl
Time 97Santa Nick: Gave Toy dinosaur, Boy
Time 99Santa Nick: Gave Toy bracelet, Boy
Time 100Santa Nick: Gave Toy bracelet, Boy
Time 102Santa Nick: Gave Toy train, Boy
Time 103Santa Nick: Gave Toy fake tattoo, Girl
Time 105Santa Nick: Gave Toy whistle, Boy
Time 106Santa Nick: Gave Toy whistle, Girl
Time 107Santa Nick: Gave Toy train, Girl
Time 109Santa Nick: Gave Toy fake tattoo, Girl
Time 111Santa Nick: Gave Toy bracelet, Girl
Time 112Santa Nick: Gave Toy bracelet, Girl
Time 114Santa Nick: Gave Toy dinosaur, Girl
Time 115Santa Nick: Gave Toy bracelet, Boy
Time 117Santa Nick: Gave Toy doll, Boy
Time 118Santa Nick: Gave Toy bracelet, Girl
Time 120Santa Nick: Gave Toy dinosaur, Girl
Time 121Santa Nick: Gave Toy bracelet, Boy
Time 122Santa Nick: Gave Toy train, Girl
Time 124Santa Nick: Gave Toy fake tattoo, Girl
Time 125Santa Nick: Gave Toy bracelet, Boy
Time 126Santa Nick: Gave Toy dinosaur, Girl
Time 127Santa Nick: Gave Toy train, Boy
Time 128Santa Nick: Gave Toy train, Boy
Time 129Santa Nick: Gave Toy doll, Girl
Time 130Santa Nick: Gave Toy whistle, Girl
Time 131Santa Nick: Gave Toy fake tattoo, Boy
Time 133Santa Nick: Gave Toy dinosaur, Boy
Time 134Santa Nick: Gave Toy whistle, Girl
Time 135Santa Nick: Gave Toy whistle, Girl
Time 136Santa Nick: Gave Toy fake tattoo, Boy
Time 137Santa Nick: Gave Toy doll, Boy
Time 139Santa Nick: Gave Toy whistle, Boy
Time 139Santa Nick: Gave Toy doll, Girl
Time 141Santa Nick: Gave Toy train, Girl
Time 142Santa Nick: Gave Toy train, Boy
Time 143Santa Nick: Gave Toy train, Boy
Time 144Santa Nick: Gave Toy fake tattoo, Boy
Time 146Santa Nick: Gave Toy doll, Girl
Time 146Santa Nick: Gave Toy doll, Girl
Time 147Santa Nick: Gave Toy fake tattoo, Girl
Time 148Santa Nick: Gave Toy fake tattoo, Girl
Time 149Santa Nick: Gave Toy train, Girl
Time 150Santa Nick: Gave Toy bracelet, Girl
Time 151Santa Nick: Gave Toy bracelet, Boy
Time 152Santa Nick: Gave Toy train, Girl
Time 154Santa Nick: Gave Toy whistle, Girl
Time 155Santa Nick: Gave Toy whistle, Boy
Time 157Santa Nick: Gave Toy bracelet, Boy
Time 158Santa Nick: Gave Toy dinosaur, Boy
Time 160Santa Nick: Gave Toy fake tattoo, Girl
Time 161Santa Nick: Gave Toy whistle, Girl
Time 162Santa Nick: Gave Toy doll, Girl
