Time 3Santa Nick2: Gave Toy train, Girl
Time 4Santa Nick2: Gave Toy doll, Girl
Time 6Santa Nick2: Gave Toy bracelet, Boy
Time 7Santa Nick2: Gave Toy bracelet, Girl
Time 8Santa Nick2: Gave Toy train, Girl
Time 9Santa Nick2: Gave Toy fake tattoo, Boy
Time 9Santa Nick2: Gave Toy dinosaur, Girl
Time 11Santa Nick2: Gave Toy doll, Boy
Time 12Santa Nick2: Gave Toy fake tattoo, Girl
Time 13Santa Nick2: Gave Toy bracelet, Girl
Time 15Santa Nick2: Gave Toy dinosaur, Boy
Time 16Santa Nick2: Gave Toy bracelet, Boy
Time 17Santa Nick2: Gave Toy bracelet, Boy
Time 18Santa Nick2: Gave Toy doll, Girl
Time 19Santa Nick2: Gave Toy fake tattoo, Boy
Time 20Santa Nick2: Gave Toy train, Girl
Time 22Santa Nick2: Gave Toy train, Boy
Time 22Santa Nick2: Gave Toy dinosaur, Girl
Time 24Santa Nick2: Gave Toy fake tattoo, Girl
Time 24Santa Nick2: Gave Toy fake tattoo, Girl
Time 26Santa Nick2: Gave Toy doll, Girl
Time 27Santa Nick2: Gave Toy bracelet, Girl
Time 28Santa Nick2: Gave Toy train, Boy
Time 29Santa Nick2: Gave Toy bracelet, Girl
Time 29Santa Nick2: Gave Toy train, Girl
Time 30Santa Nick2: Gave Toy dinosaur, Boy
Time 31Santa Nick2: Gave Toy dinosaur, Girl
Time 32Santa Nick2: Gave Toy dinosaur, Girl
Time 32Santa Nick2: Gave Toy train, Girl
Time 33Santa Nick2: Gave Toy train, Boy
Time 35Santa Nick2: Gave Toy whistle, Boy
Time 35Santa Nick2: Gave Toy doll, Boy
Time 37Santa Nick2: Gave Toy bracelet, Girl
Time 38Santa Nick2: Gave Toy bracelet, Boy
Time 39Santa Nick2: Gave Toy doll, Girl
Time 41Santa Nick2: Gave Toy bracelet, Boy
Time 41Santa Nick2: Gave Toy fake tattoo, Girl
Time 43Santa Nick2: Gave Toy whistle, Boy
Time 44Santa Nick2: Gave Toy doll, Boy
Time 45Santa Nick2: Gave Toy train, Girl
Time 46Santa Nick2: Gave Toy train, Boy
Time 47Santa Nick2: Gave Toy train, Girl
Time 48Santa Nick2: Gave Toy whistle, Girl
Time 49Santa Nick2: Gave Toy whistle, Girl
Time 51Santa Nick2: Gave Toy doll, Boy
Time 52Santa Nick2: Gave Toy fake tattoo, Boy
Time 54Santa Nick2: Gave Toy train, Girl
Time 55Santa Nick2: Gave Toy fake tattoo, Boy
Time 57Santa Nick2: Gave Toy train, Boy
Time 58Santa Nick2: Gave Toy bracelet, Girl
Time 59Santa Nick2: Gave Toy doll, Girl
Time 60Santa Nick2: Gave Toy bracelet, Girl
Time 62Santa Nick2: Gave Toy whistle, Girl
Time 63Santa Nick2: Gave Toy bracelet, Boy
Time 64Santa Nick2: Gave Toy whistle, Boy
Time 65Santa Nick2: Gave Toy bracelet, Girl
Time 66Santa Nick2: Gave Toy train, Girl
Time 67Santa Nick2: Gave Toy dinosaur, Girl
Time 68Santa Nick2: Gave Toy fake tattoo, Girl
Time 69Santa Nick2: Gave Toy train, Boy
Time 70Santa Nick2: Gave Toy whistle, Girl
Time 71Santa Nick2: Gave Toy bracelet, Boy
Time 72Santa Nick2: Gave Toy train, Girl
Time 73Santa Nick2: Gave Toy whistle, Girl
Time 75Santa Nick2: Gave Toy doll, Boy
Time 76Santa Nick2: Gave Toy fake tattoo, Boy
Time 77Santa Nick2: Gave Toy bracelet, Girl
Time 79Santa Nick2: Gave Toy whistle, Girl
Time 79Santa Nick2: Gave Toy train, Boy
Time 81Santa Nick2: Gave Toy dinosaur, Girl
Time 82Santa Nick2: Gave Toy doll, Girl
Time 83Santa Nick2: Gave Toy whistle, Girl
Time 85Santa Nick2: Gave Toy train, Boy
Time 86Santa Nick2: Gave Toy bracelet, Boy
Time 87Santa Nick2: Gave Toy bracelet, Boy
Time 89Santa Nick2: Gave Toy fake tattoo, Girl
Time 90Santa Nick2: Gave Toy train, Boy
Time 91Santa Nick2: Gave Toy dinosaur, Boy
Time 92Santa Nick2: Gave Toy train, Girl
Time 93Santa Nick2: Gave Toy whistle, Boy
Time 94Santa Nick2: Gave Toy dinosaur, Girl
Time 96Santa Nick2: Gave Toy fake tattoo, Girl
Time 97Santa Nick2: Gave Toy whistle, Girl
Time 98Santa Nick2: Gave Toy fake tattoo, Girl
Time 99Santa Nick2: Gave Toy doll, Girl
Time 100Santa Nick2: Gave Toy fake tattoo, Girl
Time 101Santa Nick2: Gave Toy train, Boy
Time 102Santa Nick2: Gave Toy train, Boy
Time 103Santa Nick2: Gave Toy dinosaur, Boy
Time 104Santa Nick2: Gave Toy dinosaur, Girl
Time 105Santa Nick2: Gave Toy whistle, Boy
Time 106Santa Nick2: Gave Toy dinosaur, Boy
Time 107Santa Nick2: Gave Toy dinosaur, Boy
Time 109Santa Nick2: Gave Toy whistle, Girl
Time 109Santa Nick2: Gave Toy dinosaur, Boy
Time 110Santa Nick2: Gave Toy bracelet, Boy
Time 111Santa Nick2: Gave Toy dinosaur, Girl
Time 113Santa Nick2: Gave Toy train, Girl
Time 114Santa Nick2: Gave Toy dinosaur, Girl
Time 115Santa Nick2: Gave Toy dinosaur, Boy
Time 116Santa Nick2: Gave Toy bracelet, Boy
Time 117Santa Nick2: Gave Toy bracelet, Boy
Time 118Santa Nick2: Gave Toy whistle, Girl
Time 119Santa Nick2: Gave Toy bracelet, Girl
Time 120Santa Nick2: Gave Toy bracelet, Girl
Time 121Santa Nick2: Gave Toy dinosaur, Boy
Time 122Santa Nick2: Gave Toy fake tattoo, Girl
Time 124Santa Nick2: Gave Toy train, Girl
Time 125Santa Nick2: Gave Toy dinosaur, Girl
Time 126Santa Nick2: Gave Toy doll, Boy
Time 128Santa Nick2: Gave Toy train, Girl
Time 129Santa Nick2: Gave Toy fake tattoo, Girl
Time 131Santa Nick2: Gave Toy train, Girl
Time 131Santa Nick2: Gave Toy train, Girl
