Time 2Santa Paul: Gave Toy fake tattoo, Girl
Time 3Santa Paul: Gave Toy train, Girl
Time 3Santa Paul: Gave Toy fake tattoo, Boy
Time 4Santa Paul: Gave Toy doll, Boy
Time 5Santa Paul: Gave Toy bracelet, Girl
Time 6Santa Paul: Gave Toy bracelet, Boy
Time 7Santa Paul: Gave Toy train, Boy
Time 8Santa Paul: Gave Toy train, Boy
Time 9Santa Paul: Gave Toy dinosaur, Girl
Time 10Santa Paul: Gave Toy dinosaur, Girl
Time 10Santa Paul: Gave Toy train, Boy
Time 11Santa Paul: Gave Toy train, Girl
Time 12Santa Paul: Gave Toy doll, Boy
Time 12Santa Paul: Gave Toy dinosaur, Girl
Time 13Santa Paul: Gave Toy fake tattoo, Boy
Time 13Santa Paul: Gave Toy dinosaur, Girl
Time 14Santa Paul: Gave Toy bracelet, Boy
Time 15Santa Paul: Gave Toy bracelet, Boy
Time 16Santa Paul: Gave Toy train, Girl
Time 17Santa Paul: Gave Toy whistle, Girl
Time 18Santa Paul: Gave Toy bracelet, Girl
Time 18Santa Paul: Gave Toy doll, Girl
Time 19Santa Paul: Gave Toy dinosaur, Boy
Time 19Santa Paul: Gave Toy train, Girl
Time 20Santa Paul: Gave Toy doll, Boy
Time 21Santa Paul: Gave Toy fake tattoo, Girl
Time 21Santa Paul: Gave Toy fake tattoo, Girl
Time 22Santa Paul: Gave Toy dinosaur, Girl
Time 23Santa Paul: Gave Toy dinosaur, Boy
Time 23Santa Paul: Gave Toy bracelet, Girl
Time 24Santa Paul: Gave Toy whistle, Boy
Time 24Santa Paul: Gave Toy whistle, Boy
Time 25Santa Paul: Gave Toy dinosaur, Girl
Time 26Santa Paul: Gave Toy bracelet, Girl
Time 27Santa Paul: Gave Toy fake tattoo, Boy
Time 28Santa Paul: Gave Toy whistle, Boy
Time 29Santa Paul: Gave Toy train, Boy
Time 30Santa Paul: Gave Toy bracelet, Girl
Time 31Santa Paul: Gave Toy dinosaur, Boy
Time 31Santa Paul: Gave Toy dinosaur, Boy
Time 32Santa Paul: Gave Toy bracelet, Boy
Time 32Santa Paul: Gave Toy doll, Girl
Time 33Santa Paul: Gave Toy whistle, Girl
Time 34Santa Paul: Gave Toy fake tattoo, Girl
Time 35Santa Paul: Gave Toy doll, Boy
Time 35Santa Paul: Gave Toy bracelet, Girl
Time 36Santa Paul: Gave Toy train, Girl
Time 38Santa Paul: Gave Toy bracelet, Girl
Time 39Santa Paul: Gave Toy doll, Boy
Time 40Santa Paul: Gave Toy doll, Girl
Time 41Santa Paul: Gave Toy bracelet, Boy
Time 42Santa Paul: Gave Toy fake tattoo, Boy
Time 43Santa Paul: Gave Toy bracelet, Boy
Time 43Santa Paul: Gave Toy whistle, Girl
Time 43Santa Paul: Gave Toy fake tattoo, Girl
Time 44Santa Paul: Gave Toy doll, Boy
