Time 4Santa Peter: Gave Toy doll, Boy
Time 5Santa Peter: Gave Toy doll, Girl
Time 6Santa Peter: Gave Toy bracelet, Girl
Time 7Santa Peter: Gave Toy bracelet, Girl
Time 8Santa Peter: Gave Toy whistle, Girl
Time 10Santa Peter: Gave Toy train, Boy
Time 10Santa Peter: Gave Toy doll, Girl
Time 12Santa Peter: Gave Toy whistle, Girl
Time 13Santa Peter: Gave Toy dinosaur, Girl
Time 14Santa Peter: Gave Toy whistle, Boy
Time 15Santa Peter: Gave Toy doll, Boy
Time 16Santa Peter: Gave Toy whistle, Girl
Time 17Santa Peter: Gave Toy train, Girl
Time 17Santa Peter: Gave Toy train, Boy
Time 18Santa Peter: Gave Toy whistle, Girl
Time 19Santa Peter: Gave Toy train, Girl
Time 20Santa Peter: Gave Toy fake tattoo, Girl
Time 21Santa Peter: Gave Toy fake tattoo, Girl
Time 22Santa Peter: Gave Toy whistle, Girl
Time 23Santa Peter: Gave Toy dinosaur, Boy
Time 24Santa Peter: Gave Toy bracelet, Girl
Time 25Santa Peter: Gave Toy dinosaur, Girl
Time 26Santa Peter: Gave Toy doll, Girl
Time 27Santa Peter: Gave Toy train, Boy
Time 29Santa Peter: Gave Toy train, Boy
Time 30Santa Peter: Gave Toy dinosaur, Boy
Time 32Santa Peter: Gave Toy train, Girl
Time 33Santa Peter: Gave Toy train, Girl
Time 33Santa Peter: Gave Toy fake tattoo, Boy
Time 35Santa Peter: Gave Toy doll, Boy
Time 36Santa Peter: Gave Toy train, Girl
Time 38Santa Peter: Gave Toy dinosaur, Girl
Time 38Santa Peter: Gave Toy doll, Boy
Time 40Santa Peter: Gave Toy bracelet, Boy
Time 41Santa Peter: Gave Toy bracelet, Boy
Time 42Santa Peter: Gave Toy bracelet, Boy
Time 42Santa Peter: Gave Toy whistle, Girl
Time 43Santa Peter: Gave Toy doll, Boy
Time 45Santa Peter: Gave Toy train, Girl
Time 45Santa Peter: Gave Toy doll, Boy
Time 46Santa Peter: Gave Toy bracelet, Boy
Time 47Santa Peter: Gave Toy train, Girl
Time 48Santa Peter: Gave Toy train, Boy
Time 49Santa Peter: Gave Toy doll, Boy
Time 50Santa Peter: Gave Toy train, Boy
Time 52Santa Peter: Gave Toy fake tattoo, Girl
Time 53Santa Peter: Gave Toy train, Girl
Time 55Santa Peter: Gave Toy dinosaur, Boy
Time 56Santa Peter: Gave Toy doll, Boy
Time 57Santa Peter: Gave Toy doll, Girl
Time 58Santa Peter: Gave Toy dinosaur, Girl
Time 59Santa Peter: Gave Toy whistle, Boy
Time 61Santa Peter: Gave Toy bracelet, Boy
Time 62Santa Peter: Gave Toy train, Girl
Time 64Santa Peter: Gave Toy fake tattoo, Girl
Time 64Santa Peter: Gave Toy whistle, Boy
Time 66Santa Peter: Gave Toy train, Boy
Time 67Santa Peter: Gave Toy whistle, Boy
Time 69Santa Peter: Gave Toy doll, Girl
Time 70Santa Peter: Gave Toy fake tattoo, Boy
Time 71Santa Peter: Gave Toy whistle, Boy
Time 73Santa Peter: Gave Toy train, Boy
Time 74Santa Peter: Gave Toy doll, Boy
Time 75Santa Peter: Gave Toy dinosaur, Boy
Time 77Santa Peter: Gave Toy bracelet, Boy
Time 77Santa Peter: Gave Toy doll, Girl
Time 79Santa Peter: Gave Toy train, Girl
Time 80Santa Peter: Gave Toy fake tattoo, Boy
Time 81Santa Peter: Gave Toy whistle, Boy
Time 83Santa Peter: Gave Toy whistle, Boy
Time 84Santa Peter: Gave Toy whistle, Girl
Time 85Santa Peter: Gave Toy bracelet, Boy
Time 88Santa Peter: Gave Toy doll, Boy
Time 89Santa Peter: Gave Toy bracelet, Girl
Time 90Santa Peter: Gave Toy bracelet, Girl
Time 92Santa Peter: Gave Toy doll, Girl
Time 93Santa Peter: Gave Toy whistle, Girl
